# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
ACAA1	chr3-reg26876 (-640)
KIF20A	chr5-reg81126 (+149)
KLHDC1	chr14-reg15764 (-4482)
LDHA	chr11-reg16009 (-1051)
LINS	chr15-reg63887 (+5216)
LMNB1	chr5-reg72483 (-450)
LYRM1	chr16-reg18699 (-611)
MAN1A1	chr6-reg79817 (-238)
MAPKAPK3	chr3-reg38627 (+830)
MCL1	chr1-reg105405 (+16629)
MIDN	chr19-reg1356 (+4481)
MLLT6	chr17-reg31694 (-2252)
MRPL33	chr2-reg23436 (-35690)
MYD88	chr3-reg26876 (-630)
NCK2	chr2-reg75085 (+1132)
NCOA1	chr2-reg19868 (-119)
NMI	chr2-reg103358 (+111)
NOL10	chr2-reg9266 (-341)
NOTCH1	chr9-reg83045 (+11995)
NUCB1	chr19-reg43605 (+60)
OR10D3	chr11-reg88346 (-69457)
OR10G7	chr11-reg88346 (-76749)
PARP9	chr3-reg81214 (+613)
PDE4D	chr5-reg33632 (+853810)
PDGFA	chr7-reg733 (-84967)
PDSS1	chr10-reg20446 (-464)
PHYKPL	chr5-reg113327 (-287)
PIGB	chr15-reg23439 (-29466)
PIM1	chr6-reg33451 (-119691)
POLE2	chr14-reg15764 (-320)
PPP1R18	chr6-reg26092 (+4780)
PRDM1	chr6-reg70513 (+11816)
PRDX2	chr19-reg14150 (+8003)
PREX1	chr20-reg39268 (+67287)
PRKAR1B	chr7-reg733 (+108846)
PRKRIR	chr11-reg55156 (+145536)
PRX	chr19-reg34979 (-8053)
RAB27A	chr15-reg23439 (-19100)
RAB3C	chr5-reg33632 (+456948)
RAI1	chr17-reg16986 (+12568)
RALA	chr7-reg30303 (-33557)
RB1CC1	chr8-reg35392 (+332)
RBKS	chr2-reg23594 (-127)
RFC2	chr7-reg50038 (-477)
RPS27A	chr2-reg43730 (-289)
RTP2	chr3-reg127678 (-35418)
RUNX3	chr1-reg27317 (-57681)
S100PBP	chr1-reg35950 (+701)
SCGB2B2	chr19-reg29540 (-1745)
SEC16A	chr9-reg83045 (-56178)
SERTAD1	chr19-reg34979 (+4606)
SIGLEC14	chr19-reg46928 (-57700)
SLC29A3	chr10-reg47809 (+394452)
SMG1	chr16-reg17046 (-151)
SMPD1	chr11-reg5575 (-300)
SOCS1	chr16-reg10965 (+22926)
SOCS3	chr17-reg69972 (+110), chr17-reg69952 (+17220)
SPN	chr16-reg25684 (-68227)
SREBF1	chr17-reg16986 (+142946)
SRF	chr6-reg39670 (+3376)
SSBP4	chr19-reg20395 (-1356)
STAT1	chr2-reg129106 (-6548)
STAT4	chr2-reg129106 (+130462)
STK3	chr8-reg62032 (+116447)
SULF2	chr20-reg39268 (-961803)
SULT1A4	chr16-reg25684 (+138573)
SUPT7L	chr2-reg23436 (-72218)
SYF2	chr1-reg27317 (+209802)
TACR2	chr10-reg44793 (+96552)
TAF1B	chr2-reg8231 (-167)
TLE3	chr15-reg37970 (-354325)
TMEM235	chr17-reg69952 (+110954)
TMEM39A	chr3-reg79033 (+140678)
TMEM75	chr8-reg82427 (-32232)
TMPRSS6	chr22-reg20046 (-18673)
TOP1	chr20-reg31102 (-434)
TULP2	chr19-reg43605 (-1377)
UACA	chr15-reg37970 (+311092)
UNK	chr17-reg66741 (-4962)
USP32	chr17-reg51797 (-513)
WNT11	chr11-reg55156 (-28874)
YAE1D1	chr7-reg30303 (+23550)
YARS	chr1-reg35950 (-103)
YIPF1	chr1-reg55640 (-328)
ZAP70	chr2-reg68423 (+507)
ZBED5	chr11-reg9526 (-29)
ZC3HAV1	chr7-reg93368 (-278)
ZFP36	chr19-reg33986 (-2914)
ZNF302	chr19-reg29540 (-234)
ZNF487	chr10-reg30203 (-30191)

